,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,population,year,sqrt_of_population
,1,Switzerland,Western Europe,7.587,164.307622,149.5623944,154.404831,126.2506522,293.7795202,8300000,2015,2880.972058
1,2,Iceland,Western Europe,7.561,153.225614,150.5807334,145.8676407,185.6026671,98.99259883,330000,2015,574.4562647
2,3,Denmark,Western Europe,7.527,155.9505244,138.9516508,150.6489312,145.2278124,338.4224179,5690000,2015,2385.372088
3,4,Norway,Western Europe,7.522,171.6599383,140.6308776,155.3699047,147.6100607,255.4631909,5200000,2015,2280.35085
4,5,Canada,North America,7.427,156.0458256,143.8749469,146.8419939,194.8806735,230.6468066,36000000,2015,6000
5,6,Finland,Western Europe,7.406,151.8055075,141.2504599,148.8649368,99.33550035,289.5384799,5480000,2015,2340.939982
6,7,Netherlands,Western Europe,7.378,156.4164417,141.8430347,142.8494655,202.5336462,222.6476168,16900000,2015,4110.960958
7,8,Sweden,Western Europe,7.364,156.6835205,144.7074112,153.0662553,154.2590858,306.8385651,9760000,2015,3124.09987
8,9,New Zealand,Australia and New Zealand,7.286,147.0910361,144.3102431,148.3290426,202.0699585,300.3860252,4610000,2015,2147.091055
9,10,Australia,Australia and New Zealand,7.284,156.9035371,147.9943746,151.0804305,185.3133941,249.4025623,23900000,2015,4888.762625
10,11,Israel,Middle East and Northern Africa,7.278,144.5484924,145.184013,95.85548046,141.11418,54.48267104,7980000,2015,2824.889378
11,12,Costa Rica,Latin America and Caribbean,7.226,112.4531432,136.6687284,147.0252651,108.4646162,74.0642399,4850000,2015,2202.271555
12,13,Austria,Western Europe,7.2,157.332981,141.458576,144.8376101,140.7568428,130.7024232,8680000,2015,2946.183973
13,14,Mexico,Latin America and Caribbean,7.187,120.0725384,129.3878424,111.7745566,59.87100475,149.1502486,122000000,2015,11045.36102
14,15,United States,North America,7.119,164.0723102,136.9102067,126.6752016,170.6072648,111.2048353,321000000,2015,17916.47287
15,16,Brazil,Latin America and Caribbean,6.983,115.448662,110.73365,113.78822,61.99801216,122.6192523,204000000,2015,14282.85686
16,17,Luxembourg,Western Europe,6.946,184.0032174,145.9894699,142.8657047,119.2570518,264.52614,567000,2015,752.9940239
17,18,Ireland,Western Europe,6.94,157.1835581,142.2386142,143.3157631,195.2635348,200.8755436,4650000,2015,2156.385865
18,19,Belgium,Western Europe,6.937,153.8727214,142.4514963,135.5974935,94.65183002,157.7443038,11300000,2015,3361.547263
19,20,United Arab Emirates,Middle East and Northern Africa,6.901,167.9267171,128.5633214,148.8370982,112.425104,270.0198968,9260000,2015,3043.024811
20,21,United Kingdom,Western Europe,6.867,148.9958849,144.4786424,138.3233627,220.834418,224.4182161,65900000,2015,8117.881497
21,22,Oman,Middle East and Northern Africa,6.853,160.0249477,121.177583,146.7886365,91.63998751,227.6164923,4270000,2015,2066.397832
22,23,Venezuela,Latin America and Caribbean,6.81,122.8609829,114.4670304,99.54178358,24.84770063,77.46547023,30100000,2015,5486.34669
23,24,Singapore,Southeastern Asia,6.798,179.0557874,162.8786472,125.8586008,132.3211314,344.392067,5590000,2015,2364.318084
24,25,Panama,Latin America and Caribbean,6.786,125.1305649,126.5552394,125.7611655,103.9425984,64.87531927,3970000,2015,1992.485885
25,26,Germany,Western Europe,6.75,156.2376047,141.6873448,142.6197965,120.0227745,152.8664076,81800000,2015,9044.335244
26,27,Chile,Latin America and Caribbean,6.67,130.2627147,136.3986541,102.3813273,141.9266968,90.0626196,18000000,2015,4242.640687
27,28,Qatar,Middle East and Northern Africa,6.611,198.8878636,126.6696238,148.5656712,138.5660251,365.3733192,2570000,2015,1603.121954
28,29,France,Western Europe,6.575,150.3383386,150.2550556,127.6193963,52.46051091,144.4893033,64500000,2015,8031.189202
29,30,Argentina,Latin America and Caribbean,6.574,123.9516529,125.0650646,104.3346736,48.71272384,59.37456405,43100000,2015,6565.059025
30,31,Czech Republic,Central and Eastern Europe,6.505,138.713937,134.2158181,107.5593189,45.4584025,18.55980008,10600000,2015,3255.764119
31,32,Uruguay,Latin America and Caribbean,6.485,124.9105484,128.9366594,140.0331206,98.8633047,171.867108,3410000,2015,1846.618531
32,33,Colombia,Latin America and Caribbean,6.477,108.0798739,109.7407297,124.0351683,78.27812693,35.83189155,47500000,2015,6892.024376
33,34,Thailand,Southeastern Asia,6.455,113.7614766,117.3234635,129.1342836,245.1588748,22.30395281,68700000,2015,8288.546314
34,35,Saudi Arabia,Middle East and Northern Africa,6.411,164.1782005,114.4241362,72.02790381,58.30552729,227.6164923,31700000,2015,5630.275304
35,36,Spain,Western Europe,6.329,144.7296825,151.8167206,106.6012048,77.53792835,44.77586761,46700000,2015,6833.739825
36,37,Malta,Western Europe,6.302,142.0577173,140.9486121,140.0400803,220.1537756,95.08048411,434000,2015,658.7867637
38,39,Kuwait,Middle East and Northern Africa,6.295,182.8631318,115.1660463,128.751502,69.0341527,179.2224435,3840000,2015,1959.591794
39,40,Suriname,Latin America and Caribbean,6.269,117.10761,96.62306094,138.3975991,72.27996601,95.40940967,559000,2015,747.6630257
40,41,Trinidad and Tobago,Latin America and Caribbean,6.168,142.5789329,97.6763508,129.6446591,135.4648483,7.978194603,1370000,2015,1170.469991
41,42,El Salvador,Latin America and Caribbean,6.13,89.95263143,107.6119086,93.60750833,45.48392659,82.41335057,6330000,2015,2515.949125
42,43,Guatemala,Latin America and Caribbean,6.123,87.71599303,102.3502253,133.9341333,116.9386137,66.28899937,16300000,2015,4037.325848
43,44,Uzbekistan,Central and Eastern Europe,6.003,74.41028883,94.95813217,152.697393,97.14893672,215.7331814,30900000,2015,5558.776844
44,45,Slovakia,Central and Eastern Europe,5.995,137.5291422,125.3494369,73.65878555,71.86307256,24.01156639,5440000,2015,2332.380758
45,46,Japan,Eastern Asia,5.987,149.5100412,157.4549193,115.101277,45.53922878,126.3913987,128000000,2015,11313.7085
46,47,South Korea,Eastern Asia,5.984,146.4356928,153.367265,77.03886336,78.94175324,54.98655702,50800000,2015,7127.411872
47,48,Ecuador,Latin America and Caribbean,5.975,101.657039,125.6242773,112.6862728,49.09558518,126.6013512,16200000,2015,4024.922359
48,49,Bahrain,Middle East and Northern Africa,5.96,155.7481563,118.6992539,105.5363759,73.85820552,214.1515394,1370000,2015,1170.469991
49,50,Italy,Western Europe,5.948,147.2039858,151.6324346,60.86459947,97.08938051,20.30240574,60600000,2015,7784.600182
50,51,Bolivia,Latin America and Caribbean,5.89,80.16248512,85.66122075,133.1940888,87.36044859,61.5860636,10900000,2015,3301.514804
51,52,Moldova,Central and Eastern Europe,5.889,69.94407138,98.22126546,76.13410677,89.12586475,11.30244235,4070000,2015,2017.4241
52,53,Paraguay,Latin America and Caribbean,5.878,89.40082532,105.0080743,125.0396801,145.6574679,57.6809473,6690000,2015,2586.503431
53,54,Kazakhstan,Central and Eastern Europe,5.855,132.0734388,102.2596709,119.8199305,50.31223342,59.16461156,17600000,2015,4195.235393
54,55,Slovenia,Central and Eastern Europe,5.848,139.4198723,138.7498894,141.1768258,107.7456877,26.5030026,2070000,2015,1438.749457
55,56,Lithuania,Central and Eastern Europe,5.833,134.9783626,116.176442,49.51106426,11.23485317,7.215367225,2930000,2015,1711.724277
56,57,Nicaragua,Latin America and Caribbean,5.828,69.79935464,118.0606075,128.6958246,118.3254226,135.188408,6220000,2015,2493.992783
57,58,Peru,Latin America and Caribbean,5.824,105.9126524,116.0000993,96.26610076,63.73365022,41.91351533,30500000,2015,5522.680509
58,59,Belarus,Central and Eastern Europe,5.813,121.4114623,116.9390048,88.01193683,46.98984784,133.5997675,9440000,2015,3072.458299
59,60,Poland,Central and Eastern Europe,5.791,132.427583,123.7623531,123.2371266,71.29303457,29.47732953,38000000,2015,6164.414003
60,61,Malaysia,Southeastern Asia,5.77,132.3464004,115.0103564,123.0097775,140.7015406,73.49036976,30300000,2015,5504.543578
61,62,Croatia,Central and Eastern Europe,5.759,127.3672033,125.1953357,60.04567876,23.15885675,17.00615165,4230000,2015,2056.69638
62,63,Libya,Middle East and Northern Africa,5.754,133.1217527,111.81077,96.66512161,77.82720135,77.14354308,6420000,2015,2533.771892
63,64,Russia,Central and Eastern Europe,5.716,133.8500427,106.3234952,85.09119697,0.8465489516,21.03024104,145000000,2015,12041.59458
64,65,Jamaica,Latin America and Caribbean,5.709,95.34597726,109.2069357,117.0198249,90.31273489,16.08935912,2890000,2015,1700
66,67,Cyprus,Western Europe,5.689,142.1436061,146.7234366,94.35451248,130.3345064,43.01226669,1160000,2015,1077.032961
67,68,Algeria,Middle East and Northern Africa,5.605,110.5129976,98.12594512,66.30009865,33.27490402,121.6534709,39700000,2015,6300.793601
69,70,Turkmenistan,Central and Eastern Europe,5.548,112.7696375,85.60720588,110.4499002,72.22891783,215.8591529,5570000,2015,2360.084744
70,71,Mauritius,Sub-Saharan Africa,5.477,118.5512477,112.7163133,130.0668789,160.5635358,52.63508913,1260000,2015,1122.497216
72,73,Estonia,Central and Eastern Europe,5.429,135.5089907,122.9012926,104.1351632,36.92484874,106.2639534,1320000,2015,1148.912529
73,74,Indonesia,Southeastern Asia,5.399,97.45084107,101.3461843,108.1323314,219.2306544,106.2639534,258000000,2015,16062.3784
74,75,Vietnam,Southeastern Asia,5.36,74.37734518,118.635707,137.9034628,71.72269007,73.07046478,92700000,2015,9628.083922
75,76,Turkey,Middle East and Northern Africa,5.332,124.8305424,116.2463436,52.92826028,52.12444374,110.1970634,78500000,2015,8860.022573
77,78,Nigeria,Sub-Saharan Africa,5.268,76.9881293,25.42988057,79.65105802,115.8495859,28.20361776,181000000,2015,13453.62405
78,79,Bhutan,Southern Asia,5.253,90.64444804,91.20092172,123.4319972,204.1842039,108.09054,728000,2015,853.2291603
79,80,Azerbaijan,Central and Eastern Europe,5.212,120.4666856,101.7465297,85.9054779,33.17706168,112.4295582,9620000,2015,3101.612484
80,81,Pakistan,Southern Asia,5.194,70.05584447,81.76261845,28.07529283,143.2369334,73.23142836,199000000,2015,14106.73598
81,82,Jordan,Middle East and Northern Africa,5.192,106.1232565,110.6335636,94.32899371,47.01962594,100.0283644,9270000,2015,3044.66747
82,82,Montenegro,Central and Eastern Europe,5.192,114.6415426,115.2121178,42.36116734,68.65979939,100.0493597,627000,2015,791.8333158
83,84,China,Eastern Asia,5.14,104.7278576,129.7278183,119.9312852,34.8191114,19.46259578,1410000000,2015,37549.96671
84,85,Zambia,Sub-Saharan Africa,5.129,55.34297587,47.53943564,113.2732047,83.34040458,87.25625466,15900000,2015,3987.480407
85,86,Romania,Central and Eastern Europe,5.124,122.7680347,122.1530279,81.35385631,58.48419591,4.541972191,19900000,2015,4460.941605
86,87,Serbia,Central and Eastern Europe,5.123,108.3057732,118.8898946,46.64600173,81.80895924,18.31485551,8880000,2015,2979.932885
87,88,Portugal,Western Europe,5.102,136.4702393,139.0390278,119.4023506,58.36082948,7.544292791,10400000,2015,3224.903099
88,89,Latvia,Central and Eastern Europe,5.098,130.9651203,115.0786693,68.83341709,77.53367433,44.31397213,2000000,2015,1414.213562
89,90,Philippines,Southeastern Asia,5.073,82.98504983,92.32411318,145.0974376,106.3120847,85.93355398,102000000,2015,10099.50494
91,92,Morocco,Middle East and Northern Africa,5.013,86.45236881,96.83594305,96.71847905,30.50979438,59.80846586,34700000,2015,5890.67059
92,93,Macedonia,Central and Eastern Europe,5.007,108.0681083,116.8389184,77.61651564,95.11551763,37.28056373,2080000,2015,1442.22051
93,94,Mozambique,Sub-Saharan Africa,4.971,9.774851046,14.50616852,78.96205108,94.7326563,109.1962898,27000000,2015,5196.152423
94,95,Albania,Central and Eastern Europe,4.959,103.3806977,129.1987904,82.89658228,60.71329968,44.88084385,2890000,2015,1700
95,96,Bosnia and Herzegovina,Central and Eastern Europe,4.949,97.91675838,125.6338093,21.44737087,105.5336,1.588640504,3430000,2015,1852.025918
96,97,Lesotho,Sub-Saharan Africa,4.898,44.17390257,12.09297501,73.69590377,69.71479507,87.50819765,2060000,2015,1435.270009
97,98,Dominican Republic,Latin America and Caribbean,4.885,105.3455511,106.1630393,133.7926201,92.24405762,99.61545788,10300000,2015,3209.361307
98,99,Laos,Southeastern Asia,4.876,69.49462589,87.23241784,138.2444865,179.4853938,169.7045973,6740000,2015,2596.150997
99,100,Mongolia,Eastern Asia,4.874,97.4414286,95.74611372,101.2074637,141.3609129,18.65777791,3000000,2015,1732.050808
100,101,Swaziland,Sub-Saharan Africa,4.867,83.77805051,12.01989607,71.12314722,77.67405682,21.41515394,1100000,2015,1048.808848
101,102,Greece,Western Europe,4.857,135.7819523,140.1415665,17.86082296,77.67405682,9.776787597,10700000,2015,3271.085447
102,103,Lebanon,Middle East and Northern Africa,4.839,120.6725834,133.3642897,78.68134455,92.96724014,32.06674357,6530000,2015,2555.386468
103,104,Hungary,Central and Eastern Europe,4.8,131.8851894,120.5881855,74.49626536,54.45138985,19.30163221,9780000,2015,3127.299154
104,105,Honduras,Latin America and Caribbean,4.788,70.04290232,110.4286249,93.13889081,97.95719954,47.76419137,9110000,2015,3018.277655
105,106,Tajikistan,Central and Eastern Europe,4.786,45.94109398,91.15643889,109.535864,97.73173675,105.4801308,8450000,2015,2906.888371
106,107,Tunisia,Middle East and Northern Africa,4.739,103.6701312,117.2329092,60.9388359,27.35756939,44.49593095,11200000,2015,3346.640106
107,108,Palestinian Territories,Middle East and Northern Africa,4.715,70.43704954,104.8762145,56.83495283,47.86192088,90.31456259,4530000,2015,2128.379665
108,109,Bangladesh,Southern Asia,4.694,46.77174454,95.58089178,94.69785601,90.27870277,87.96309471,156000000,2015,12489.996
109,110,Iran,Middle East and Northern Africa,4.686,118.6912583,110.8972833,69.67321679,162.0184089,41.03171488,78500000,2015,8860.022573
110,111,Ukraine,Central and Eastern Europe,4.681,94.01528919,107.0606392,58.28256336,64.98007656,20.72231072,44900000,2015,6700.746227
111,112,Iraq,Middle East and Northern Africa,4.677,115.9486995,95.69686488,58.28256336,76.24045382,96.4941642,35600000,2015,5966.573556
112,113,South Africa,Sub-Saharan Africa,4.642,108.3010669,43.98716395,77.03654347,50.93331959,62.17393057,55400000,2015,7443.117626
113,114,Ghana,Sub-Saharan Africa,4.633,64.19069853,63.75660443,98.22872658,98.21244043,30.47810307,27800000,2015,5272.570531
114,115,Zimbabwe,Sub-Saharan Africa,4.61,31.88474523,53.18081166,59.99464121,80.77097962,56.54020544,13800000,2015,3714.835124
115,116,Liberia,Sub-Saharan Africa,4.571,8.377099115,54.33418788,66.18874399,103.6363093,43.6141305,4470000,2015,2114.237451
116,117,India,Southern Asia,4.565,75.8868702,81.86270482,92.29909111,112.6250427,59.43055138,1310000000,2015,36193.92214
117,118,Sudan,Sub-Saharan Africa,4.55,61.30695275,58.58706414,23.38679781,81.09003073,102.5967832,38900000,2015,6236.986452
118,119,Haiti,Latin America and Caribbean,4.518,31.38235459,61.71516028,56.66328106,196.4801831,120.1978003,10700000,2015,3271.085447
119,120,Congo (Kinshasa),Sub-Saharan Africa,4.517,31.38235459,15.57852245,52.44108366,105.6442043,53.36292443,76200000,2015,8729.261137
120,121,Nepal,Southern Asia,4.514,42.35258945,90.35415929,88.80997853,137.387663,41.33964519,27000000,2015,5196.152423
121,122,Ethiopia,Sub-Saharan Africa,4.512,22.44050722,69.98896662,100.7991632,103.4789108,105.3121688,101000000,2015,10049.87562
122,123,Sierra Leone,Sub-Saharan Africa,4.507,38.85467994,69.98896662,94.74425378,91.41027071,61.48808578,7170000,2015,2677.685568
123,124,Mauritania,Sub-Saharan Africa,4.436,53.42400836,56.99203696,56.21554255,93.16292482,122.1993473,4050000,2015,2012.46118
124,125,Kenya,Sub-Saharan Africa,4.419,42.91027835,65.82664469,97.93410072,159.7042248,40.86375288,47900000,2015,6920.982589
125,126,Djibouti,Sub-Saharan Africa,4.369,51.79800401,57.65451339,106.8865511,76.96789036,196.6904906,914000,2015,956.0334722
126,127,Armenia,Central and Eastern Europe,4.35,90.38442853,115.9572052,46.04283068,33.41528651,27.29382364,2930000,2015,1711.724277
127,128,Botswana,Sub-Saharan Africa,4.332,116.897006,7.58749982,114.8228903,44.50124916,87.29824516,2120000,2015,1456.021978
128,129,Myanmar,Southeastern Asia,4.307,31.8941577,76.64709303,102.1145401,338.5685325,133.2078562,52700000,2015,7259.476565
129,130,Georgia,Central and Eastern Europe,4.297,87.28890216,115.8555301,94.13412306,23.59702027,268.2562959,4020000,2015,2004.993766
130,131,Malawi,Sub-Saharan Africa,4.292,1.887200419,35.84362876,99.88048732,140.9270034,48.82795066,16700000,2015,4086.563348
131,132,Sri Lanka,Southern Asia,4.271,98.2709026,112.4875444,124.6383393,173.6829176,64.23846339,20900000,2015,4571.65178
132,133,Cameroon,Sub-Saharan Africa,4.252,49.70961203,37.17811365,114.391391,87.70927781,40.49283682,23300000,2015,4827.007354
133,134,Bulgaria,Central and Eastern Europe,4.218,119.086582,121.7701578,70.95843512,50.71211081,6.10261903,7200000,2015,2683.281573
134,135,Egypt,Middle East and Northern Africa,4.194,103.7489607,98.0401568,40.10623554,48.03208147,44.2579848,92400000,2015,9612.491873
135,136,Yemen,Middle East and Northern Africa,4.077,64.29776539,63.6485747,82.52076032,38.84340943,54.96556177,26500000,2015,5147.81507
136,137,Angola,Sub-Saharan Africa,4.033,89.15727764,26.50382318,24.08972408,52.51155909,49.84272102,27900000,2015,5282.045058
137,138,Mali,Sub-Saharan Africa,3.995,30.67759583,32.69964589,90.14391452,79.96697081,86.44443837,17400000,2015,4171.330723
138,139,Congo (Brazzaville),Sub-Saharan Africa,3.989,79.8483439,49.32986954,96.1965041,52.69873574,81.7834931,4860000,2015,2204.540769
139,140,Comoros,Sub-Saharan Africa,3.956,28.12681622,57.69264153,53.16488893,74.19427269,139.2684847,777000,2015,881.4760348
140,141,Uganda,Sub-Saharan Africa,3.931,24.82774516,53.79403924,106.0815498,123.6471951,50.85749139,38200000,2015,6180.614856
141,142,Senegal,Sub-Saharan Africa,3.904,42.94204544,69.17080028,85.30694662,88.66643115,74.97403402,14600000,2015,3820.994635
142,143,Gabon,Sub-Saharan Africa,3.896,124.7434771,68.90390331,74.0369274,29.02088918,77.61943539,1950000,2015,1396.424004
143,144,Niger,Sub-Saharan Africa,3.845,8.16531852,47.19469371,110.640131,82.47258555,109.4482328,20000000,2015,4472.135955
144,145,Cambodia,Southeastern Asia,3.819,54.16641701,97.09013065,153.6833456,171.6877846,50.71752306,15500000,2015,3937.003937
145,146,Tanzania,Sub-Saharan Africa,3.781,33.55545882,60.71111927,76.27330009,146.2402679,40.21989858,51500000,2015,7176.350047
146,147,Madagascar,Sub-Saharan Africa,3.681,24.50066179,74.22436748,44.50474448,90.75089841,56.85513417,24200000,2015,4919.34955
147,148,Central African Republic,Sub-Saharan Africa,3.678,9.235987087,10.64251702,113.3938389,101.3944435,58.00987287,4490000,2015,2118.96201
148,149,Chad,Sub-Saharan Africa,3.667,40.23007725,23.8459741,54.51970392,78.2143167,36.87465558,14100000,2015,3754.996671
149,150,Guinea,Sub-Saharan Africa,3.656,20.49212574,38.14243785,87.51780054,121.907303,84.95377569,11400000,2015,3376.388603
150,151,Ivory Coast,Sub-Saharan Africa,3.655,54.7499902,24.12399178,108.723903,85.78220909,125.4256173,23200000,2015,4816.637832
151,152,Burkina Faso,Sub-Saharan Africa,3.587,30.36933741,43.09274133,91.61936373,92.51206055,89.8036782,18100000,2015,4254.409477
152,153,Afghanistan,Southern Asia,3.575,37.62870561,48.19238003,54.31787361,155.3140815,68.0176082,34400000,2015,5865.151319
153,154,Rwanda,Sub-Saharan Africa,3.465,26.12901926,68.09685768,137.3397299,96.25984762,386.249595,11400000,2015,3376.388603
154,155,Benin,Sub-Saharan Africa,3.34,33.72605985,50.69453921,112.3986067,77.67831083,56.05731471,10600000,2015,3255.764119
155,156,Syria,Middle East and Northern Africa,3.006,78.0293839,114.6910332,36.38513409,200.7001658,132.3120589,18000000,2015,4242.640687
156,157,Burundi,Sub-Saharan Africa,2.905,1.800135063,35.57990912,27.49068088,83.91895059,70.418065,10200000,2015,3193.743885
157,158,Togo,Sub-Saharan Africa,2.839,24.55243038,45.18661168,84.56690213,70.96122141,75.10000552,7320000,2015,2705.549852
,1,Denmark,Western Europe,7.526,150.7938737,143.1497203,155.2737945,150.6556671,323.8145454,5710000,2016,2389.560629
1,2,Switzerland,Western Europe,7.509,159.7414357,155.3915565,156.9245885,116.9683752,300.1401641,8380000,2016,2894.822965
2,3,Iceland,Western Europe,7.501,149.2124928,156.1657865,151.7444183,198.5834203,109.0842647,332000,2016,576.1944116
3,4,Norway,Western Europe,7.498,164.9823747,143.2847604,159.7438017,157.8362916,260.6075895,5250000,2016,2291.287847
4,5,Finland,Western Europe,7.413,147.0495988,146.007169,153.0307513,106.1766129,298.6905635,5500000,2016,2345.20788
5,6,Canada,North America,7.404,150.6233942,149.0122616,153.7435942,186.7378889,228.2137514,36400000,2016,6033.241252
6,7,Netherlands,Western Europe,7.339,153.1889546,146.2592439,147.9577755,197.4921653,218.0009876,17000000,2016,4123.105626
7,8,New Zealand,Australia and New Zealand,7.334,142.3096396,149.6172413,155.8258458,205.7598797,305.246546,4660000,2016,2158.703314
8,9,Australia,Australia and New Zealand,7.313,151.0710338,153.2615238,152.3152286,197.4546794,235.5127453,24300000,2016,4929.503018
9,10,Sweden,Western Europe,7.291,151.8428982,149.6622547,156.0161159,159.3315609,297.6925973,9840000,2016,3136.877428
10,11,Israel,Middle East and Northern Africa,7.267,139.9040999,152.8960152,97.63267602,134.4826015,63.57846157,8110000,2016,2847.806173
11,12,Austria,Western Europe,7.119,151.6933364,145.0600877,145.6638149,136.8858616,155.5079053,8750000,2016,2958.039892
12,13,United States,North America,7.104,157.7155529,140.2616624,129.070119,171.0896253,108.3048312,323000000,2016,17972.20076
13,14,Costa Rica,Latin America and Caribbean,7.087,111.7833403,137.1035243,147.9952935,93.93539741,76.82883068,4900000,2016,2213.594362
15,16,Germany,Western Europe,6.994,151.4308188,146.7201808,143.281419,126.8354863,207.9776187,82200000,2016,9066.421565
16,17,Brazil,Latin America and Caribbean,6.952,113.7443781,110.5798459,108.3333588,65.70854563,103.1911648,206000000,2016,14352.70009
17,18,Belgium,Western Europe,6.929,149.0796652,147.5700333,137.6215537,100.9619134,191.2015879,11400000,2016,3376.388603
18,19,Ireland,Western Europe,6.907,155.1479007,146.6625637,144.7339033,187.2751862,216.740782,4700000,2016,2167.948339
19,20,Luxembourg,Western Europe,6.871,177.541384,152.2208147,147.0439431,114.8358463,257.3514515,579000,2016,760.9204952
20,21,Mexico,Latin America and Caribbean,6.778,116.6247505,128.0954486,101.0548578,48.87739496,133.7056212,123000000,2016,11090.53651
21,22,Singapore,Southeastern Asia,6.739,172.10591,170.5448575,130.6967943,136.2236114,342.2732784,5650000,2016,2376.972865
22,23,United Kingdom,Western Europe,6.725,146.7201445,145.8271155,134.0894976,208.9045268,199.5859611,66300000,2016,8142.481194
23,24,Chile,Latin America and Caribbean,6.705,127.2530526,147.4331926,101.2692467,131.5961904,83.4139509,18200000,2016,4266.145802
24,25,Panama,Latin America and Caribbean,6.701,123.7346893,127.5408839,131.1175324,100.7120077,61.35671194,4040000,2016,2009.975124
25,26,Argentina,Latin America and Caribbean,6.65,120.4202738,125.5170828,113.3152194,45.77023377,53.14716494,43500000,2016,6595.452979
26,27,Czech Republic,Central and Eastern Europe,6.596,136.9222765,137.5176474,110.9944602,41.3552326,29.03571813,10600000,2016,3255.764119
27,28,United Arab Emirates,Middle East and Northern Africa,6.573,164.5723871,131.4264381,150.6483554,110.7540528,259.0414381,9360000,2016,3059.411708
28,29,Uruguay,Latin America and Caribbean,6.545,123.5788521,129.9680049,145.7522503,75.20496323,155.8429889,3420000,2016,1849.324201
29,30,Malta,Western Europe,6.488,136.7831735,144.609954,147.3762458,234.2324721,127.8707968,436000,2016,660.3029608
30,31,Colombia,Latin America and Caribbean,6.481,107.7598136,107.4181068,119.8835574,65.08378131,39.32861068,48200000,2016,6942.621983
31,32,France,Western Europe,6.478,145.8886644,150.8758152,124.7796624,50.64756053,129.7210407,64700000,2016,8043.631021
32,33,Thailand,Southeastern Asia,6.474,113.9284542,116.8817178,132.795125,244.4744418,20.63677608,69000000,2016,8306.623863
33,34,Saudi Arabia,Middle East and Northern Africa,6.379,155.7879834,106.7122971,101.5774306,64.37988019,218.591026,32400000,2016,5692.099788
35,36,Qatar,Middle East and Northern Africa,6.375,190.7979997,129.1397588,151.8918106,134.899111,350.0093378,2650000,2016,1627.88206
36,37,Spain,Western Europe,6.361,140.4134468,158.2598085,100.6153607,73.57641091,44.70451634,46600000,2016,6826.419266
37,38,Algeria,Middle East and Northern Africa,6.355,110.0963248,111.280254,56.29314868,29.33893227,117.694455,40600000,2016,6371.812929
38,39,Guatemala,Latin America and Caribbean,6.324,87.28344088,97.2991011,135.0086898,119.9880694,63.38178209,16600000,2016,4074.309757
