,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,population,year,sqrt_of_population
39,40,Suriname,Latin America and Caribbean,6.269,114.7191446,91.70663995,139.9798309,69.41131547,92.45392235,565000,2016,751.6648189
40,41,Kuwait,Middle East and Northern Africa,6.239,169.1345455,114.4581979,115.6788563,66.49574867,172.4150558,3960000,2016,1989.974874
41,42,Bahrain,Middle East and Northern Africa,6.218,150.6328072,118.2879355,126.958389,71.41889148,187.7342016,1430000,2016,1195.826074
42,43,Trinidad and Tobago,Latin America and Caribbean,6.168,138.655311,94.72253577,129.8472785,133.0123228,9.039971449,1380000,2016,1174.734012
43,44,Venezuela,Latin America and Caribbean,6.084,118.5690541,111.4603075,53.18719041,17.70165561,60.48986536,29900000,2016,5468.089246
44,45,Slovakia,Central and Eastern Europe,6.078,133.8452774,126.6982336,62.68461586,57.63242558,21.46720053,5440000,2016,2332.380758
45,46,El Salvador,Latin America and Caribbean,6.068,91.37913377,107.3118752,99.87571922,36.9735522,77.30960273,6360000,2016,2521.904043
46,47,Malaysia,Southeastern Asia,6.005,130.8843717,112.2921545,104.5976333,172.7431682,66.1498636,30700000,2016,5540.758071
47,48,Nicaragua,Latin America and Caribbean,5.992,72.56781295,117.4182772,124.8332596,124.0073865,118.6778524,6300000,2016,2509.98008
48,49,Uzbekistan,Central and Eastern Europe,5.987,76.96785891,90.32022814,163.0641488,142.971066,206.3896141,31400000,2016,5603.57029
49,50,Italy,Western Europe,5.977,141.7124383,153.2291142,50.45373275,69.49045229,18.61899035,60700000,2016,7791.020472
50,51,Ecuador,Latin America and Caribbean,5.976,101.7710655,123.5400956,107.9179804,41.95917144,131.3891741,16500000,2016,4062.019202
51,52,Belize,Latin America and Caribbean,5.956,91.63642194,82.04857118,137.2919309,98.64612035,78.46054188,368000,2016,606.6300355
52,53,Japan,Eastern Asia,5.921,144.339706,164.7327311,125.3129546,42.58393576,138.294809,128000000,2016,11313.7085
53,54,Kazakhstan,Central and Eastern Europe,5.919,128.5844666,103.3254911,108.5879456,62.52224762,81.09021931,17800000,2016,4219.004622
54,55,Moldova,Central and Eastern Europe,5.897,72.35131437,94.18417586,67.53784314,83.28941347,13.86226081,4070000,2016,2017.4241
55,56,Russia,Central and Eastern Europe,5.856,128.8825443,106.2153495,87.58319933,11.39570112,26.12194812,145000000,2016,12041.59458
56,57,Poland,Central and Eastern Europe,5.835,130.3018128,124.3413335,121.1028939,60.15647341,40.06433761,38000000,2016,6164.414003
57,57,South Korea,Eastern Asia,5.835,142.186225,159.6084091,67.44672788,78.40375652,56.20662345,51000000,2016,7141.428429
58,59,Bolivia,Latin America and Caribbean,5.822,83.06642512,84.57112046,136.5683685,90.37424081,56.4251562,11000000,2016,3316.62479
59,60,Lithuania,Central and Eastern Europe,5.813,132.7439585,116.4477889,50.72707852,8.434318262,13.25765354,2890000,2016,1700
60,61,Belarus,Central and Eastern Europe,5.802,118.2500586,113.6209492,77.95982044,58.0697606,127.1642076,9450000,2016,3074.08523
62,63,Slovenia,Central and Eastern Europe,5.768,135.909858,142.5141315,142.4721011,107.2012264,26.47888495,2070000,2016,1438.749457
63,64,Peru,Latin America and Caribbean,5.743,104.1724217,113.4228904,100.5001267,60.50634143,38.5491772,30900000,2016,5558.776844
64,65,Turkmenistan,Central and Eastern Europe,5.658,112.9735595,79.23433526,100.2482198,93.99370875,207.365727,5660000,2016,2379.075451
65,66,Mauritius,Sub-Saharan Africa,5.648,119.6201704,119.1755992,123.6621606,153.9044415,37.90086338,1260000,2016,1122.497216
66,67,Libya,Middle East and Northern Africa,5.615,111.5835759,94.17517319,108.9952843,71.16898575,75.31367027,6490000,2016,2547.547841
67,68,Latvia,Central and Eastern Europe,5.56,127.3764673,115.1478028,75.02537324,72.66008992,64.75853842,1970000,2016,1403.566885
68,69,Cyprus,Western Europe,5.546,137.9075019,152.8293955,79.07464239,116.2311533,38.082974,1170000,2016,1081.665383
69,70,Paraguay,Latin America and Caribbean,5.538,93.47404512,104.9621773,123.903348,105.3602542,53.87560744,6780000,2016,2603.843313
70,71,Romania,Central and Eastern Europe,5.528,122.3373844,121.7197549,98.38303695,53.6839151,4.946124588,19800000,2016,4449.719092
71,72,Estonia,Central and Eastern Europe,5.517,133.8358644,122.6128201,111.2436873,35.08259887,134.9002669,1320000,2016,1148.912529
72,73,Jamaica,Latin America and Caribbean,5.51,93.43220965,107.0760052,116.8338762,92.65254802,31.27932103,2910000,2016,1705.872211
73,74,Croatia,Central and Eastern Europe,5.488,124.0934284,126.9809176,64.06742385,76.7793693,29.15226893,4210000,2016,2051.828453
75,76,Somalia,Sub-Saharan Africa,5.44,124.0934284,20.64493224,152.1571168,113.3947233,227.1283721,14200000,2016,3768.288736
77,78,Turkey,Middle East and Northern Africa,5.389,121.8374505,116.5270124,64.01918636,19.60510423,89.94808014,79800000,2016,8933.084574
78,79,Indonesia,Southeastern Asia,5.314,99.46802264,88.89960617,105.1496846,235.4153593,2.345584856,262000000,2016,16186.41406
79,80,Jordan,Middle East and Northern Africa,5.303,104.2466796,109.3140699,96.5366131,59.40259114,96.86099948,9550000,2016,3090.307428
80,81,Azerbaijan,Central and Eastern Europe,5.291,117.5294426,98.13634979,94.67143022,23.49113827,130.4931898,9740000,2016,3120.897307
81,82,Philippines,Southeastern Asia,5.279,84.94379201,84.68995576,147.0010653,90.27427852,85.64298495,104000000,2016,10198.03903
82,83,China,Eastern Asia,5.245,107.4962501,132.4491418,117.9460183,20.65470828,19.99574668,1410000000,2016,37549.96671
83,84,Bhutan,Southern Asia,5.196,89.18277139,89.59281207,123.4718905,202.1987231,117.7163083,737000,2016,858.4870413
85,86,Serbia,Central and Eastern Europe,5.177,108.1833977,116.2785386,42.1220466,86.3715841,31.60712016,8850000,2016,2974.894956
86,87,Bosnia and Herzegovina,Central and Eastern Europe,5.163,97.66805138,127.416647,25.48815277,124.4905375,31.60712016,3390000,2016,1841.195264
87,88,Montenegro,Central and Eastern Europe,5.161,112.7863457,114.3933787,40.49537131,71.60215567,92.66517067,627000,2016,791.8333158
88,89,Dominican Republic,Latin America and Caribbean,5.155,107.5035713,103.8350425,140.0468274,88.65822149,90.12290634,10400000,2016,3224.903099
89,90,Morocco,Middle East and Northern Africa,5.151,87.91515654,107.0796062,68.72770118,16.88113181,61.21830786,35100000,2016,5924.525297
90,91,Hungary,Central and Eastern Europe,5.145,129.8384849,121.7305581,52.98084116,41.23444484,32.57594869,9750000,2016,3122.498999
91,92,Pakistan,Southern Asia,5.132,71.97374922,72.57235643,39.18491954,129.8885012,101.1078193,204000000,2016,14282.85686
92,93,Lebanon,Middle East and Northern Africa,5.129,117.4196245,137.1485377,70.28737996,98.68360621,22.29762498,6710000,2016,2590.366769
93,94,Portugal,Western Europe,5.123,133.4624828,142.8958449,119.8621185,48.69413077,11.07961045,10300000,2016,3209.361307
94,95,Macedonia,Central and Eastern Europe,5.121,106.6072463,116.5630231,74.14637901,97.90889846,51.33334311,2080000,2016,1442.22051
95,96,Vietnam,Southeastern Asia,5.061,77.43432445,119.117982,149.9489118,104.4397681,84.17881552,93600000,2016,9674.709298
97,98,Tunisia,Middle East and Northern Africa,5.045,102.2082462,107.2704629,63.11875325,16.39381564,59.51375241,11300000,2016,3361.547263
98,99,Greece,Western Europe,5.033,130.6166247,144.0950011,15.60214756,16.39381564,30.06282205,10600000,2016,3255.764119
99,100,Tajikistan,Central and Eastern Europe,4.996,51.07588414,95.64260906,116.3273825,108.2841512,98.40529759,8660000,2016,2942.787794
100,101,Mongolia,Eastern Asia,4.907,103.3890524,99.87386589,96.39994022,143.8582313,23.92933619,3060000,2016,1749.285568
101,102,Laos,Southeastern Asia,4.876,71.1642328,68.94427876,139.8029601,179.4281464,163.3386622,6850000,2016,2617.250466
102,103,Nigeria,Sub-Saharan Africa,4.875,78.66742504,9.197131857,74.64483306,96.70935097,22.21749631,186000000,2016,13638.1817
103,104,Honduras,Latin America and Caribbean,4.871,72.61487786,105.1206244,71.69966642,85.13455075,50.30623918,9270000,2016,3044.66747
104,105,Iran,Middle East and Northern Africa,4.813,116.8862222,115.6519525,60.41477405,160.514448,40.57424736,79600000,2016,8921.883209
105,106,Zambia,Sub-Saharan Africa,4.795,64.01036677,42.44400729,114.3282066,74.4135951,83.6179148,16400000,2016,4049.691346
106,107,Nepal,Southern Asia,4.793,46.67374641,90.15818,99.18699509,158.9400419,51.04925054,27300000,2016,5224.940191
107,108,Palestinian Territories,Middle East and Northern Africa,4.754,70.09951999,102.3496013,47.55144388,46.45747452,77.30960273,4640000,2016,2154.065923
108,109,Albania,Central and Eastern Europe,4.655,99.91357044,131.4516455,85.3964332,70.14020718,38.61473703,2890000,2016,1700
109,110,Bangladesh,Southern Asia,4.643,56.66301168,95.40853954,106.5994891,79.68660592,91.65992002,158000000,2016,12569.80509
110,111,Sierra Leone,Sub-Saharan Africa,4.635,38.15918159,95.40853954,82.231518,99.53328568,59.70314746,7330000,2016,2707.397274
111,112,Iraq,Middle East and Northern Africa,4.575,112.4056429,91.96411643,66.61061142,81.59005453,99.33041956,36600000,2016,6049.793385
112,113,Namibia,Sub-Saharan Africa,4.574,97.56764624,62.5595823,130.2787361,32.46691894,75.74345135,2360000,2016,1536.22915
113,114,Cameroon,Sub-Saharan Africa,4.513,54.90592178,22.86319113,114.5265163,94.46436453,44.62438767,23900000,2016,4888.762625
114,115,Ethiopia,Sub-Saharan Africa,4.508,30.62670452,62.25889298,98.35891821,122.9619475,125.0735776,104000000,2016,10198.03903
115,116,South Africa,Sub-Saharan Africa,4.459,107.1155473,33.50975352,113.8485116,56.8785433,61.29843654,56200000,2016,7496.665926
116,117,Sri Lanka,Southern Asia,4.415,101.7836161,111.6457625,136.1824686,195.6678535,58.01316085,21000000,2016,4582.575695
117,118,India,Southern Asia,4.404,77.43327856,81.18791554,107.9581783,104.2440086,63.53475502,1320000000,2016,36331.80425
118,119,Myanmar,Southeastern Asia,4.395,35.6772921,71.80532859,114.4086025,341.4170381,147.4586157,53000000,2016,7280.109889
119,120,Egypt,Middle East and Northern Africa,4.362,99.77237571,93.83667264,50.50732996,52.92170264,75.70702923,94400000,2016,9715.966241
120,121,Armenia,Central and Eastern Europe,4.36,90.03621506,115.3836728,37.61720118,32.45858875,26.34048087,2940000,2016,1714.64282
121,122,Kenya,Sub-Saharan Africa,4.356,54.6653678,54.2807232,108.7380177,172.1350643,48.70366568,49100000,2016,7007.139217
122,123,Ukraine,Central and Eastern Europe,4.324,91.29232516,105.5617554,34.46032557,84.8138384,13.32321336,44700000,2016,6685.80586
123,124,Ghana,Sub-Saharan Africa,4.276,66.00278122,53.44167397,109.8019223,88.31251857,23.74722556,28500000,2016,5338.539126
124,125,Congo (Kinshasa),Sub-Saharan Africa,4.272,5.920765438,33.8500546,41.81118279,106.0349997,44.25288199,78800000,2016,8876.936408
125,126,Georgia,Central and Eastern Europe,4.252,87.63695063,115.2972472,86.99095017,28.26433764,232.2274696,4020000,2016,2004.993766
126,127,Congo (Brazzaville),Sub-Saharan Africa,4.236,80.64728884,50.79668832,101.6685459,50.3018576,71.04499721,4980000,2016,2231.59136
127,128,Senegal,Sub-Saharan Africa,4.219,46.34742971,72.84423718,83.22574623,79.56581815,85.08936865,15000000,2016,3872.983346
128,129,Bulgaria,Central and Eastern Europe,4.217,116.4134813,122.087064,56.86395895,53.28406594,4.479921387,7150000,2016,2673.948391
129,130,Mauritania,Sub-Saharan Africa,4.201,64.20803939,51.56551669,33.98063054,94.48935511,130.7918512,4160000,2016,2039.607805
130,131,Zimbabwe,Sub-Saharan Africa,4.193,36.64892099,28.71853037,68.14617146,77.06676089,62.51493552,14000000,2016,3741.657387
131,132,Malawi,Sub-Saharan Africa,4.156,9.108628545,52.87090443,111.0266186,128.9846755,55.09939085,17200000,2016,4147.288271
132,133,Sudan,Sub-Saharan Africa,4.139,65.96303752,53.58211569,111.0266186,75.29243023,73.12834277,39800000,2016,6308.724118
133,134,Gabon,Sub-Saharan Africa,4.121,121.167037,62.91068659,75.29871901,26.00685591,67.84713463,2010000,2016,1417.744688
134,135,Mali,Sub-Saharan Africa,4.073,32.7278912,29.43334269,73.81407632,87.73357031,99.41054824,18000000,2016,4242.640687
135,136,Haiti,Latin America and Caribbean,4.028,35.6616038,49.50390432,32.35127539,199.749647,105.4493366,10800000,2016,3286.335345
136,137,Botswana,Sub-Saharan Africa,3.974,114.4472141,62.57218604,118.1523675,51.75131082,78.44597303,2160000,2016,1469.693846
137,138,Comoros,Sub-Saharan Africa,3.956,28.77130126,53.98183442,41.3020093,76.09629365,134.3029441,796000,2016,892.1883209
138,139,Ivory Coast,Sub-Saharan Africa,3.916,58.05404118,8.059193851,108.9711656,84.70971102,113.1271205,23800000,2016,4878.524367
139,140,Cambodia,Southeastern Asia,3.907,58.15549221,76.51192661,157.7151474,168.0157849,58.94556726,15800000,2016,3974.921383
140,141,Angola,Sub-Saharan Africa,3.866,88.61903838,8.986469283,1.578437807,50.27686703,61.43684061,28800000,2016,5366.563146
141,142,Niger,Sub-Saharan Africa,3.856,13.87891845,47.10559194,101.9445715,87.34205133,125.1172841,20800000,2016,4560.7017
142,143,South Sudan,Sub-Saharan Africa,3.832,41.20166643,28.41423998,52.69141623,107.8718067,94.80679163,10800000,2016,3286.335345
143,144,Chad,Sub-Saharan Africa,3.763,44.15106733,6.885245149,34.32097282,77.74983654,36.0724727,14600000,2016,3820.994635
144,145,Burkina Faso,Sub-Saharan Africa,3.739,33.46314965,38.34599005,89.42694332,101.4325692,91.29569877,18600000,2016,4312.771731
145,145,Uganda,Sub-Saharan Africa,3.739,36.31214542,35.33549583,116.9839484,112.8824166,46.92626597,39600000,2016,6292.853089
146,147,Yemen,Middle East and Northern Africa,3.724,60.59763799,55.90300507,61.28840856,40.9054023,42.91983221,27200000,2016,5215.361924
147,148,Madagascar,Sub-Saharan Africa,3.695,29.2367209,66.81604661,36.67121044,91.79870345,54.67689419,24900000,2016,4989.98998
148,149,Tanzania,Sub-Saharan Africa,3.666,49.31879424,64.27909305,85.11236799,131.0838836,37.14328317,53000000,2016,7280.109889
149,150,Liberia,Sub-Saharan Africa,3.622,11.19726458,41.70938909,69.00104694,100.2246915,35.34403019,4590000,2016,2142.428529
150,151,Guinea,Sub-Saharan Africa,3.607,23.44355366,33.90227011,82.9497206,124.5946649,86.83034623,11700000,2016,3420.526275
151,152,Rwanda,Sub-Saharan Africa,3.515,34.35319936,57.37404202,145.5700198,98.09632776,368.0164364,11700000,2016,3420.526275
152,153,Benin,Sub-Saharan Africa,3.484,41.31148455,37.86164618,106.5164134,84.05162594,48.66724355,10900000,2016,3301.514804
153,154,Afghanistan,Southern Asia,3.36,39.98111648,31.22847591,44.03010724,130.2342042,51.80683074,35400000,2016,5949.789912
154,155,Togo,Sub-Saharan Africa,3.303,29.41347578,44.6730694,92.93220079,72.95997679,84.4046327,7510000,2016,2740.437921
155,156,Syria,Middle East and Northern Africa,3.069,78.14761928,113.4228904,18.52319545,201.5781239,125.5324964,17500000,2016,4183.300133
156,157,Burundi,Sub-Saharan Africa,2.905,7.144453048,28.3530218,11.57699716,84.50978644,68.61199926,10500000,2016,3240.370349
,1,Norway,Western Europe,7.537000179,164.1231413,145.1296514,154.3923716,147.3010876,254.8425501,5300000,2017,2302.172887
1,2,Denmark,Western Europe,7.521999836,150.5096801,144.3825715,152.1045434,144.5619706,323.243533,5730000,2017,2393.741841
2,3,Iceland,Western Europe,7.504000187,150.3319994,151.849147,152.3854024,193.4950935,123.8277792,334000,2017,577.9273311
3,4,Switzerland,Western Europe,7.493999958,158.8958925,156.3267621,150.6622031,118.2231435,296.0119554,8460000,2017,2908.607914
4,5,Finland,Western Europe,7.468999863,146.5691031,147.4051816,150.1471622,99.88579297,308.5976642,5510000,2017,2347.338919
5,6,Netherlands,Western Europe,7.376999855,152.6988801,147.6854438,142.2343197,191.440113,227.9826124,17000000,2017,4123.105626
6,7,Canada,North America,7.315999985,150.18695,152.0323256,148.4827908,177.2190777,231.7812421,36700000,2017,6058.052492
7,8,New Zealand,Australia and New Zealand,7.31400013,142.7244955,148.7900532,149.2022955,203.4497491,308.7631366,4700000,2017,2167.948339
8,9,Sweden,Western Europe,7.28399992,151.7284992,151.3614814,148.9257813,156.8171547,310.0391296,9900000,2017,3146.426545
9,10,Australia,Australia and New Zealand,7.28399992,150.7159857,153.7318258,146.1760919,194.3735924,242.9215673,24600000,2017,4959.838707
10,11,Israel,Middle East and Northern Africa,7.212999821,139.6456697,152.7330191,98.64544422,134.3090897,68.75253362,8240000,2017,2870.540019
11,12,Costa Rica,Latin America and Caribbean,7.078999996,112.6709738,138.3606748,140.9580067,87.32511996,80.74157787,4950000,2017,2224.859546
12,13,Austria,Western Europe,7.006000042,150.9883285,148.5293141,137.9534979,128.7711088,178.2975806,8820000,2017,2969.848481
13,14,United States,North America,6.993000031,156.9951815,141.0526839,122.8827561,159.7384712,109.4002887,325000000,2017,18027.75638
14,15,Ireland,Western Europe,6.977000237,155.9237478,147.5190303,139.2519981,174.0935521,240.6667777,4750000,2017,2179.449472
15,16,Germany,Western Europe,6.951000214,151.0722064,145.545772,136.6767069,136.8263538,223.1998257,82700000,2017,9093.954036
16,17,Belgium,Western Europe,6.890999794,148.6209516,149.032735,131.1512742,94.19762621,202.7223292,11400000,2017,3376.388603
17,18,Luxembourg,Western Europe,6.862999916,176.8634498,153.9509235,144.9661956,115.2250182,257.1578415,592000,2017,769.4153625
18,19,United Kingdom,Western Europe,6.714000225,146.3723351,146.7089725,123.4779286,200.5075023,214.0826192,66700000,2017,8167.006796
19,20,Chile,Latin America and Caribbean,6.65199995,127.198038,149.2855584,91.57646752,132.9174126,66.36987184,18500000,2017,4301.162634
20,21,United Arab Emirates,Middle East and Northern Africa,6.647999763,165.1262988,132.4016691,147.8132363,146.8655913,261.7190288,9490000,2017,3080.58436
21,22,Brazil,Latin America and Caribbean,6.635000229,112.4320611,112.3180499,106.2907155,66.05941343,89.60254136,208000000,2017,14422.2051
22,23,Czech Republic,Central and Eastern Europe,6.609000206,137.3408804,137.4379302,119.2880858,35.85022845,29.74008334,10600000,2017,3255.764119
23,24,Argentina,Latin America and Caribbean,6.598999977,120.3457132,126.6339205,120.156246,44.53756648,48.18356933,43900000,2017,6625.707509
24,25,Mexico,Latin America and Caribbean,6.578000069,117.0853457,129.3376891,100.283443,49.23044169,107.0897687,125000000,2017,11180.33989
25,26,Singapore,Southeastern Asia,6.572000027,171.8207565,172.9701196,133.5980043,140.7719411,374.4902645,5710000,2017,2389.560629
26,27,Malta,Western Europe,6.52699995,136.3862221,149.7345252,143.0562011,233.8551852,123.4563677,438000,2017,661.8156843
27,28,Uruguay,Latin America and Caribbean,6.453999996,123.6215733,131.0205544,140.7783513,71.24612217,143.6168851,3440000,2017,1854.723699
28,29,Guatemala,Latin America and Caribbean,6.453999996,88.53631807,98.41613913,129.0956727,115.3501022,62.28490444,16900000,2017,4110.960958
29,30,Panama,Latin America and Caribbean,6.452000141,125.2652525,128.6412737,133.6432621,85.6746346,57.25251508,4110000,2017,2027.313493
30,31,France,Western Europe,6.441999912,145.2848762,153.8373137,114.2526392,52.79967623,139.1328814,64800000,2017,8049.844719
31,32,Thailand,Southeastern Asia,6.423999786,114.5150521,117.908277,140.9747919,232.7942199,25.49744365,69200000,2017,8318.653737
33,34,Spain,Western Europe,6.402999878,140.5610277,161.942973,99.32398518,77.36446176,57.19619582,46600000,2017,6826.419266
34,35,Qatar,Middle East and Northern Africa,6.375,189.9430461,129.3593839,146.7892662,134.4682733,354.3194832,2720000,2017,1649.24225
35,36,Colombia,Latin America and Caribbean,6.356999874,108.7026917,108.3969199,116.0179319,60.63329267,37.64095724,48900000,2017,6992.853495
36,37,Saudi Arabia,Middle East and Northern Africa,6.343999863,155.4076508,107.5079987,109.2785477,60.06426621,220.5384461,33100000,2017,5753.259945
37,38,Trinidad and Tobago,Latin America and Caribbean,6.168000221,138.2215253,94.72595318,126.0147688,132.36161,7.23062689,1380000,2017,1174.734012
38,39,Kuwait,Middle East and Northern Africa,6.105000019,165.7973337,115.1514225,120.5980706,92.89005192,173.5382423,4060000,2017,2014.944168
39,40,Slovakia,Central and Eastern Europe,6.09800005,134.5701877,129.8393726,71.87651311,55.55931118,19.52740946,5450000,2017,2334.523506
40,41,Bahrain,Middle East and Northern Africa,6.086999893,151.1218432,118.9819947,130.4165629,70.25800037,207.3189233,1490000,2017,1220.655562
41,42,Malaysia,Southeastern Asia,6.084000111,131.1000046,112.7246696,97.74069399,169.5162266,52.91064964,31100000,2017,5576.737397
42,43,Nicaragua,Latin America and Caribbean,6.071000099,74.85964581,118.9752409,108.7443103,122.7498291,105.4071856,6380000,2017,2525.866188
43,44,Ecuador,Latin America and Caribbean,6.007999897,101.6155452,124.9031377,110.6021895,61.08006051,113.0264512,16800000,2017,4098.780306
44,45,El Salvador,Latin America and Caribbean,6.002999783,92.3724653,108.577384,105.0755403,31.84280855,72.5746898,6390000,2017,2527.844932
45,46,Poland,Central and Eastern Europe,5.97300005,131.158126,127.4242271,126.4305901,64.47906125,47.83507136,38000000,2017,6164.414003
46,47,Uzbekistan,Central and Eastern Europe,5.971000195,79.84913176,90.77089659,159.9385578,169.261802,198.838836,32000000,2017,5656.854249
47,48,Italy,Western Europe,5.964000225,141.6442503,155.4182852,62.31134134,70.30730036,22.60622739,60700000,2017,7791.020472
48,49,Russia,Central and Eastern Europe,5.962999821,130.141812,99.71125649,90.82028593,21.2659051,26.58641193,146000000,2017,12083.04597
49,50,Belize,Latin America and Caribbean,5.955999851,92.18877521,82.01195084,133.0315795,97.66124262,77.89805001,376000,2017,613.1883887
50,51,Japan,Eastern Asia,5.920000076,143.8625837,166.4089481,122.8548194,49.0604959,132.0822169,128000000,2017,11313.7085
51,52,Lithuania,Central and Eastern Europe,5.90199995,133.4725013,114.5765326,56.9126775,4.1359513,9.570306323,2850000,2017,1688.194302
52,53,Algeria,Middle East and Northern Africa,5.872000217,110.8594541,112.5061039,56.69497668,28.25344717,117.8347053,41400000,2017,6434.283177
53,54,Latvia,Central and Eastern Europe,5.849999905,128.0066424,116.3284782,79.13917141,62.2854151,59.55829975,1950000,2017,1396.424004
54,55,South Korea,Eastern Asia,5.837999821,142.3155637,163.9930317,62.66874752,84.09483417,51.04102077,51100000,2017,7148.4264
55,56,Moldova,Central and Eastern Europe,5.837999821,74.00387378,107.3835524,58.49135601,84.95125086,8.139188147,4060000,2017,2014.944168
56,57,Romania,Central and Eastern Europe,5.824999809,123.6341852,124.8160763,111.0408932,54.32863055,3.539087964,19700000,2017,4438.468204
57,58,Bolivia,Latin America and Caribbean,5.822999954,84.65317866,86.28176628,135.7586328,91.7796048,48.77867742,11200000,2017,3346.640106
58,59,Turkmenistan,Central and Eastern Europe,5.822000027,114.810307,79.74106258,101.6299962,101.6933095,209.1160679,5760000,2017,2400
59,60,Kazakhstan,Central and Eastern Europe,5.818999767,130.4238861,110.403285,106.2908458,82.17837992,96.20833661,18100000,2017,4254.409477
61,62,Slovenia,Central and Eastern Europe,5.757999897,136.175656,144.0660862,139.1221191,98.7327821,36.39905198,2080000,2017,1442.22051
62,63,Peru,Latin America and Caribbean,5.715000153,105.1087493,114.7980843,109.3398521,51.60234934,37.94772656,31400000,2017,5603.57029
63,64,Mauritius,Sub-Saharan Africa,5.629000187,120.762004,116.2265518,119.3612586,146.8622565,34.02178957,1260000,2017,1122.497216
64,65,Cyprus,Western Europe,5.620999813,137.6714415,153.8826469,86.28354397,110.3721075,33.26074037,1180000,2017,1086.278049
65,66,Estonia,Central and Eastern Europe,5.611000061,134.1118491,126.6396103,116.4173879,40.23820894,147.8005314,1320000,2017,1148.912529
66,67,Belarus,Central and Eastern Europe,5.568999767,117.4278893,116.1731401,71.7751429,63.12472746,126.0758624,9450000,2017,3074.08523
67,68,Libya,Middle East and Northern Africa,5.525000095,111.8685423,94.75978748,113.1619482,61.8780642,74.69532759,6580000,2017,2565.151068
68,69,Turkey,Middle East and Northern Africa,5.5,121.6634912,116.1533455,73.07271625,18.99918055,80.39071823,81100000,2017,9005.553842
69,70,Paraguay,Latin America and Caribbean,5.493000031,94.68261041,105.5227638,115.0509793,91.20585509,73.44976568,6870000,2017,2621.068484
71,72,Philippines,Southeastern Asia,5.429999828,87.08412968,85.25774677,142.1930591,78.73970757,80.11674173,105000000,2017,10246.95077
72,73,Serbia,Central and Eastern Europe,5.394999981,108.5702179,118.5541907,50.7128422,89.56819343,32.99119273,8830000,2017,2971.531592
73,74,Jordan,Middle East and Northern Africa,5.335999966,100.6197165,110.138865,101.6662531,70.05535567,96.62805694,9790000,2017,3128.897569
74,75,Hungary,Central and Eastern Europe,5.323999882,130.571683,125.2906577,42.73059594,31.90127005,29.54974442,9730000,2017,3119.294792
75,76,Jamaica,Latin America and Caribbean,5.31099987,93.97614824,116.7757836,115.2452257,95.13958877,44.57656451,2920000,2017,1708.800749
76,77,Croatia,Central and Eastern Europe,5.293000221,124.128883,127.754535,62.14650162,100.911252,34.76507524,4180000,2017,2044.50483
